id,digipin,aip_id,suffix,full_address,latitude,longitude,owner_name,owner_phone,address_type,confidence_score,is_verified,created_at,updated_at
35670,39J-L24-88L6,AIP_GOV_001,@gov,"28.4624078,77.0874735",28.4624078,77.0874735,DLFSupermart1,,shop,50.0,True,2025-12-29 14:34:16.972890,2025-12-29 14:34:16.972890
35671,39J-L23-4F8P,AIP_OFFICE_001,@office,"28.4671709,77.081805",28.4671709,77.081805,DLFGalleria,,shop,50.0,True,2025-12-29 14:34:17.020730,2025-12-29 14:34:17.020730
35672,39J-L4M-CL74,AIP_POST_001,@post,"28.417077,77.0466108",28.417077,77.0466108,BlockBMarket,,shop,50.0,True,2025-12-29 14:34:17.022534,2025-12-29 14:34:17.022534
35673,39J-L4M-8KT2,AIP_OFFICE_001,@office,"28.4173675,77.0510414",28.4173675,77.0510414,BlockDMarket,,shop,50.0,True,2025-12-29 14:34:17.023690,2025-12-29 14:34:17.023690
35674,39J-595-KFT7,AIP_OFFICE_001,@office,"28.633824,77.3696585",28.633824,77.3696585,ShipraMall,,shop,50.0,True,2025-12-29 14:34:17.025332,2025-12-29 14:34:17.025332
35675,39J-5CJ-KL7L,AIP_HOME_001,@home,"28.6411763,77.3168413",28.6411763,77.3168413,BigBazaar,,shop,50.0,True,2025-12-29 14:34:17.026712,2025-12-29 14:34:17.026712
35676,39J-542-F2FJ,AIP_OFFICE_001,@office,"28.5765403,77.3351059",28.5765403,77.3351059,HDFCBank,,shop,50.0,True,2025-12-29 14:34:17.027435,2025-12-29 14:34:17.027435
35677,39J-L33-93F3,AIP_POST_001,@post,"28.4710628,77.0489453",28.4710628,77.0489453,Motorola,,shop,50.0,True,2025-12-29 14:34:17.027897,2025-12-29 14:34:17.027897
35678,39J-528-J7J9,AIP_GOV_001,@gov,"28.6181777,77.3796612",28.6181777,77.3796612,Luminous,,shop,50.0,True,2025-12-29 14:34:17.029103,2025-12-29 14:34:17.029103
35679,39J-L29-5C25,AIP_GOV_001,@gov,"28.4758425,77.0931814",28.4758425,77.0931814,DTMegaMall,,shop,50.0,True,2025-12-29 14:34:17.030067,2025-12-29 14:34:17.030067
35680,39J-L2F-9365,AIP_HOSPITAL_001,@hospital,"28.4795748,77.0757513",28.4795748,77.0757513,GurgaonCentralMall,,shop,50.0,True,2025-12-29 14:34:17.030930,2025-12-29 14:34:17.030930
35681,39J-4L4-TL3C,AIP_HOME_001,@home,"28.5247959,77.1561895",28.5247959,77.1561895,VasantSquareMall,,shop,50.0,True,2025-12-29 14:34:17.031421,2025-12-29 14:34:17.031421
35682,39J-L92-LTM8,AIP_OFFICE_001,@office,"28.4981833,77.0898086",28.4981833,77.0898086,EnglishWineandBeer,,shop,50.0,True,2025-12-29 14:34:17.031822,2025-12-29 14:34:17.031822
35683,39J-L3J-CPKT,AIP_OFFICE_001,@office,"28.4696385,77.038568",28.4696385,77.038568,DhingraMotors,,shop,50.0,True,2025-12-29 14:34:17.032266,2025-12-29 14:34:17.032266
35684,39J-L29-5CC9,AIP_GOV_001,@gov,"28.4760495,77.0930558",28.4760495,77.0930558,RelianceSuper,,shop,50.0,True,2025-12-29 14:34:17.032811,2025-12-29 14:34:17.032811
35685,39J-3FL-5P58,AIP_HOME_001,@home,"28.7641611,77.1465098",28.7641611,77.1465098,MarutiServiceStation,,shop,50.0,True,2025-12-29 14:34:17.033434,2025-12-29 14:34:17.033434
35686,39J-L2C-83TT,AIP_GOV_001,@gov,"28.4793836,77.0867809",28.4793836,77.0867809,BigBazaar,,shop,50.0,True,2025-12-29 14:34:17.033951,2025-12-29 14:34:17.033951
35687,39J-L9M-TL33,AIP_HOSPITAL_001,@hospital,"28.4808322,77.0858755",28.4808322,77.0858755,GKBOpticals,,shop,50.0,True,2025-12-29 14:34:17.034473,2025-12-29 14:34:17.034473
35688,39J-4M2-7736,AIP_POST_001,@post,"28.5390271,77.2018735",28.5390271,77.2018735,MatriDepartmentStore,,shop,50.0,True,2025-12-29 14:34:17.035839,2025-12-29 14:34:17.035839
